english_name,korean_name,image_url
Aatrox,아트록스,https://cdn.discordapp.com/attachments/1380885275382648914/1380928857489801266/Aatrox.png?ex=6845a9b8&is=68445838&hm=22f2ad983ceae301e69c20d67920212c1a63c7491f85e8fdb3112b6971182016&
Ahri,아리,https://cdn.discordapp.com/attachments/1380885275382648914/1380928857762299944/Ahri.png?ex=6845a9b8&is=68445838&hm=5854a1e0367d207bce1824cc37ed404224ef98d4b5b1e83b001712925b14a904&
Akali,아칼리,https://cdn.discordapp.com/attachments/1380885275382648914/1380928858051838092/Akali.png?ex=6845a9b8&is=68445838&hm=6102349c4d5944f5fcc23387bcab8e3f4e63d0400829859ebd2c28f67195e3e1&
Akshan,아크샨,https://cdn.discordapp.com/attachments/1380885275382648914/1380928858316083371/Akshan.png?ex=6845a9b8&is=68445838&hm=6c07fe64d678e76343faf332d0cc5ba989627ecef51f57f6bdff56cbca6e68d7&
Alistar,알리스타,https://cdn.discordapp.com/attachments/1380885275382648914/1380928858714538075/Alistar.png?ex=6845a9b8&is=68445838&hm=82570f925e9aabd32b75ddcc564ff99aabfbbe453b73eab40beb19de09607c7a&
Ambessa,암베사,https://cdn.discordapp.com/attachments/1380885275382648914/1380928858961875095/Ambessa.png?ex=6845a9b8&is=68445838&hm=4acdb23415bfae21441a76f4b19fac00a6aba3d39136774d757f64fa070e396f&
Amumu,아무무,https://cdn.discordapp.com/attachments/1380885275382648914/1380928859293352106/Amumu.png?ex=6845a9b8&is=68445838&hm=2e92f8f95ba6eebb85dc961da961f03587168203857d0bde48abfc5d059c21d8&
Anivia,애니비아,https://cdn.discordapp.com/attachments/1380885275382648914/1380928859532165140/Anivia.png?ex=6845a9b8&is=68445838&hm=3df2b74720d36d9ed18b58f809929200376ee33a02f0068198c466e4c6655ab6&
Annie,애니,https://cdn.discordapp.com/attachments/1380885275382648914/1380928859804799067/Annie.png?ex=6845a9b8&is=68445838&hm=82615d213d212fa9e775761d0a78b3a877526bf5f277b94a907e098051f25e53&
Aphelios,아펠리오스,https://cdn.discordapp.com/attachments/1380885275382648914/1380928860110979102/Aphelios.png?ex=6845a9b8&is=68445838&hm=b8391a2b49c2541181feefeca7d869c8253eb95591d6377f250f3f074c46ac76&
Ashe,애쉬,https://cdn.discordapp.com/attachments/1380885275382648914/1380929744123592704/Ashe.png?ex=6845aa8b&is=6844590b&hm=d035b9cd322554b4d7d22fdbc0f0a2cccfd9a23a6b0e91c1dd309d2ade35051b&
Aurelion_Sol,아우렐리온 솔,https://cdn.discordapp.com/attachments/1380885275382648914/1380929744463204363/Aurelion_Sol.png?ex=6845aa8b&is=6844590b&hm=19bf38243b601d00ae4f89c1d79238c7f00fa31672675f1d26da4d294f1e731a&
Aurora,오로라,https://cdn.discordapp.com/attachments/1380885275382648914/1380929744748544000/Aurora.png?ex=6845aa8b&is=6844590b&hm=9cb5c1c735c7d33ddb5e6ca989fe634838ab074a1218d0a16eebb8a743c6b655&
Azir,아지르,https://cdn.discordapp.com/attachments/1380885275382648914/1380929745046470806/Azir.png?ex=6845aa8b&is=6844590b&hm=f26d60efdfcc4a1a9945ba98ee488afb58e46f6978b06052fb693703bd4836d7&
Bard,바드,https://cdn.discordapp.com/attachments/1380885275382648914/1380929745398665347/Bard.png?ex=6845aa8b&is=6844590b&hm=aab34281162f2fdf29968b41e5797bbae62ddbf9f086d6d42cbb2f0adce02bb2&
Bel_Veth,벨베스,https://cdn.discordapp.com/attachments/1380885275382648914/1380929745855709194/Bel_Veth.png?ex=6845aa8b&is=6844590b&hm=4a576e71314fc0cf05c4fd60e6fc47d7391dbe9d2e2b849896c191283c47f7cf&
Blitzcrank,블리츠크랭크,https://cdn.discordapp.com/attachments/1380885275382648914/1380929746371612833/Blitzcrank.png?ex=6845aa8b&is=68445838&hm=e6cc2580ec9f5f5de8feab17995d38844ec23b5c472cfe408e690dd9a21a6d08&
Brand,브랜드,https://cdn.discordapp.com/attachments/1380885275382648914/1380929746715803740/Brand.png?ex=6845aa8c&is=6844590c&hm=b228f1a91fdcc50f2914764e9675437ef2990a5d95c69e3740226e631396dc93&
Braum,브라움,https://cdn.discordapp.com/attachments/1380885275382648914/1380929747055284314/Braum.png?ex=6845aa8c&is=6844590c&hm=5afbaa2baf15ad0fbfcde84c4745dd2ab096bb9d4b2ec50c1a28d6170dfc37b5&
Briar,브라이어,https://cdn.discordapp.com/attachments/1380885275382648914/1380929743859224646/Briar.png?ex=6845aa8b&is=6844590b&hm=d82b77cbe3f251fd17d27452df95fc4249cb7e6dfa283a68f6aaebf428af1891&
Caitlyn,케이틀린,https://cdn.discordapp.com/attachments/1380885275382648914/1380929994804432986/Caitlyn.png?ex=6845aac7&is=68445947&hm=c2062eb1f7238cb198758647cb0cc16e4d766331d1a920b0c5f4a6e074153fc2&
Camille,카밀,https://cdn.discordapp.com/attachments/1380885275382648914/1380929995182051358/Camille.png?ex=6845aac7&is=68445947&hm=328c45b59bff0a3ab1325e88aab07d55553564dc6b41c887edf035dc47ea6c27&
Cassiopeia,카시오페아,https://cdn.discordapp.com/attachments/1380885275382648914/1380929995471589538/Cassiopeia.png?ex=6845aac7&is=68445947&hm=9970f32ae4719cd17c81d020f2dbeebb9ac61858be7086716a24186feb06894e&
Cho_Gath,초가스,https://cdn.discordapp.com/attachments/1380885275382648914/1380929995760865413/Cho_Gath.png?ex=6845aac7&is=68445947&hm=afee5d65f3f51761517d2d0133d964c520b2a2d55534317866fb1812ba9d1f4d&
Corki,코르키,https://cdn.discordapp.com/attachments/1380885275382648914/1380929996146868425/Corki.png?ex=6845aac7&is=68445947&hm=d43828aea8cf1460fefe3c509be8a2346a085135eda8fc3d6b5da25590374853&
Darius,다리우스,https://cdn.discordapp.com/attachments/1380885275382648914/1380929996499194008/Darius.png?ex=6845aac7&is=68445947&hm=05442a3c95d33e19f4ebdf44d827de18f5f5c0a584e84aba3baf090127bf3c06&
Diana,다이애나,https://cdn.discordapp.com/attachments/1380885275382648914/1380929996792660151/Diana.png?ex=6845aac7&is=68445947&hm=63c8ee5e1377d08b95e0065a89ae09e5e1a6e60ac23a8c23974a7b9d82fb09ed&
Dr_Mundo,문도 박사,https://cdn.discordapp.com/attachments/1380885275382648914/1380929997145112616/Dr_Mundo.png?ex=6845aac7&is=68445947&hm=437e463871dd12ef1fa9d824e616f70f02aa8b45a469d8b8fccc3332c262655c&
Draven,드레이븐,https://cdn.discordapp.com/attachments/1380885275382648914/1380929997417480283/Draven.png?ex=6845aac7&is=68445947&hm=04de19a01af8435e8a0c7561d35834441331a6cd5292b37228f1f99ea4531a9e&
Ekko,에코,https://cdn.discordapp.com/attachments/1380885275382648914/1380929997799292999/Ekko.png?ex=6845aac7&is=68445947&hm=9d963f2483257fd9edf9e91bc4ee16d426527717c0b99a042b4bfef4aea80d37&
Elise,엘리스,https://cdn.discordapp.com/attachments/1380885275382648914/1380930224694493337/Elise.png?ex=6845aafe&is=6844597e&hm=ae436dc3e32cff732284eb1defb54dad29a0a250882d9e0e758c67a1b1160c60&
Evelynn,이블린,https://cdn.discordapp.com/attachments/1380885275382648914/1380930224988098734/Evelynn.png?ex=6845aafe&is=6844597e&hm=281833d8ab5a6e5c99a9467a313e2ffd0cc4e8537a67db0c97968f7d9143e4d4&
Ezreal,이즈리얼,https://cdn.discordapp.com/attachments/1380885275382648914/1380930225252073583/Ezreal.png?ex=6845aafe&is=6844597e&hm=e1995036175664990e09849029db6e5a3fd1dcfc8cdb97c0f016628a604ea2f1&
Fiddlesticks,피들스틱,https://cdn.discordapp.com/attachments/1380885275382648914/1380930225461923850/Fiddlesticks.png?ex=6845aafe&is=6844597e&hm=5cc030fb858043483deea8688204b78c9d0aec8c30df2fb6aac397685074b1a0&
Fiora,피오라,https://cdn.discordapp.com/attachments/1380885275382648914/1380930225755521285/Fiora.png?ex=6845aafe&is=6844597e&hm=aa02f87912c482ae32345c60c2b281952b89319066b58c0312c173a1c2a959ee&
Fizz,피즈,https://cdn.discordapp.com/attachments/1380885275382648914/1380930226007048202/Fizz.png?ex=6845aafe&is=6844597e&hm=b5caff1592f0665ca40ee3d7cbe3db23ee5f9df918e27fadd8b02ca34e130d83&
Galio,갈리오,https://cdn.discordapp.com/attachments/1380885275382648914/1380930226250584124/Galio.png?ex=6845aafe&is=6844597e&hm=24fd5a09c9f527eec9f76a16b5aa887bc99f4e90ce2616c25a589defb50a73b4&
Gangplank,갱플랭크,https://cdn.discordapp.com/attachments/1380885275382648914/1380930226535530599/Gangplank.png?ex=6845aafe&is=6844597e&hm=4a24d87460d64fc606c63ee1df5ab36d8cf2c351b10a2095768c39149305646c&
Garen,가렌,https://cdn.discordapp.com/attachments/1380885275382648914/1380930226770546779/Garen.png?ex=6845aafe&is=6844597e&hm=8970ec97b95a1f4d589399c48b26dd562c6cee5c3bc5a4212f46031c30d8b8f5&
Gnar,나르,https://cdn.discordapp.com/attachments/1380885275382648914/1380930227060084818/Gnar.png?ex=6845aafe&is=6844597e&hm=843fe6f66b63de75f7ac9f57aec3b271427818354ee9a64e7f2d7509e9730b8d&
Gragas,그라가스,https://cdn.discordapp.com/attachments/1380885275382648914/1380931197600923729/Gragas.png?ex=6845abe5&is=68445a65&hm=da7849aca504309040ec8001630cecb584910445cda19d985179394f5724e0ef&
Graves,그레이브즈,https://cdn.discordapp.com/attachments/1380885275382648914/1380931197844324382/Graves.png?ex=6845abe6&is=68445a66&hm=77de1db7d5cd084a8371412be4cb99fe69877d607020d3b9f59f382af7a179b0&
Gwen,그웬,https://cdn.discordapp.com/attachments/1380885275382648914/1380931198066495609/Gwen.png?ex=6845abe6&is=68445a66&hm=0a3a6ef4b75432d604eac05c4e0df9728741f03e750cb3abfcccecda3c199b96&
Hecarim,헤카림,https://cdn.discordapp.com/attachments/1380885275382648914/1380931198301372496/Hecarim.png?ex=6845abe6&is=68445a66&hm=d41de2c0953f8ca5738681b07caea012544b0823a31ef63851cc57abdfabf465&
Heimerdinger,하이머딩거,https://cdn.discordapp.com/attachments/1380885275382648914/1380931198565482647/Heimerdinger.png?ex=6845abe6&is=68445a66&hm=dbdd6f1c89bb479b1f2dcf81febf63cb3b480fd63a089e9e900825fbc221d56d&
Hwei,흐웨이,https://cdn.discordapp.com/attachments/1380885275382648914/1380931198783721554/Hwei.png?ex=6845abe6&is=68445a66&hm=d886865d75121fe964e749f5428423a1dd8e3a151a94f105e879f5d359e62463&
Illaoi,일라오이,https://cdn.discordapp.com/attachments/1380885275382648914/1380931199006015719/Illaoi.png?ex=6845abe6&is=68445a66&hm=fd8e6585552ffef956f1c27873c7e225f585df7562d4d2f064815d9969d09492&
